from,to,year,week
hindu,islam,2009,2
christian,hindu,2009,2
hindu,islam,2009,2
hindu,islam,2009,2
christian,hindu,2009,2
hindu,christianity,2009,2
hindu,christianity,2009,2
hindu,christianity,2009,2
islam,hindu,2009,2
hindu,islam,2009,2
hindu,islam,2009,2
islam,hindu,2009,2
hindu,christianity,2009,2
christian,islam,2009,2
christian,hindu,2009,3
hindu,christianity,2009,3
christian,hindu,2009,3
islam,hindu,2009,3
christian,islam,2009,3
hindu,islam,2009,3
hindu,islam,2009,3
islam,hindu,2009,3
hindu,christianity,2009,3
christian,hindu,2009,3
hindu,islam,2009,3
christian,islam,2009,3
hindu,christianity,2009,3
hindu,christianity,2009,3
christian,hindu,2009,3
hindu,christianity,2009,3
hindu,islam,2009,3
hindu,christianity,2009,3
christian,hindu,2009,3
christian,hindu,2009,3
hindu,islam,2009,3
hindu,christianity,2009,3
hindu,islam,2009,3
christian,hindu,2009,3
hindu,christianity,2009,3
christian,hindu,2009,3
christian,hindu,2009,3
christian,hindu,2009,3
hindu,islam,2009,3
hindu,islam,2009,3
hindu,christianity,2009,3
hindu,islam,2009,3
christian,hindu,2009,3
hindu,christianity,2009,3
hindu,christianity,2009,3
hindu,christianity,2009,3
hindu,islam,2009,3
christian,hindu,2009,30
hindu,islam,2009,30
hindu,christianity,2009,30
hindu,christianity,2009,30
hindu,christianity,2009,30
hindu,islam,2009,35
hindu,christianity,2009,35
christian,islam,2009,12
hindu,christianity,2009,12
hindu,islam,2009,12
hindu,islam,2009,12
hindu,islam,2009,12
hindu,islam,2009,12
hindu,christianity,2009,12
hindu,christianity,2009,19
hindu,christianity,2009,19
hindu,islam,2009,50
hindu,islam,2009,50
hindu,islam,2009,50
christian,hindu,2009,50
christian,islam,2009,17
hindu,islam,2009,17
hindu,islam,2009,17
christian,hindu,2009,17
hindu,christianity,2009,41
hindu,christianity,2009,41
hindu,islam,2009,41
hindu,christianity,2009,41
hindu,islam,2009,18
