from,to,year,week
islam,hindu,2013,14
hindu,islam,2013,14
hindu,christianity,2013,14
hindu,islam,2013,14
islam,hindu,2013,14
islam,hindu,2013,25
christian,islam,2013,25
hindu,islam,2013,25
hindu,islam,2013,25
hindu,christianity,2013,25
islam,hindu,2013,25
hindu,christianity,2013,25
christian,islam,2013,21
hindu,christianity,2013,21
christian,hindu,2013,21
hindu,islam,2013,21
islam,hindu,2013,21
hindu,christianity,2013,21
christian,hindu,2013,1
hindu,islam,2013,1
hindu,islam,2013,1
hindu,islam,2013,1
hindu,christianity,2013,1
islam,hindu,2013,50
hindu,christianity,2013,50
christian,hindu,2013,50
hindu,islam,2013,50
hindu,christianity,2013,50
hindu,islam,2013,50
hindu,islam,2013,50
christian,hindu,2013,34
islam,hindu,2013,34
christian,christianity,2013,34
hindu,christianity,2013,34
christian,hindu,2013,34
islam,hindu,2013,34
hindu,islam,2013,34
hindu,islam,2013,34
hindu,islam,2013,6
hindu,christianity,2013,6
hindu,islam,2013,6
hindu,islam,2013,6
hindu,islam,2013,6
hindu,islam,2013,6
christian,hindu,2013,43
hindu,christianity,2013,43
hindu,christianity,2013,43
hindu,islam,2013,43
islam,christianity,2013,43
hindu,islam,2013,29
hindu,christianity,2013,29
hindu,islam,2013,29
hindu,christianity,2013,29
hindu,christianity,2013,29
hindu,islam,2013,29
hindu,christianity,2013,29
hindu,islam,2013,47
hindu,christianity,2013,47
hindu,islam,2013,47
hindu,islam,2013,47
hindu,islam,2013,47
hindu,christianity,2013,47
hindu,islam,2013,47
hindu,christianity,2013,47
islam,hindu,2013,5
hindu,christianity,2013,5
hindu,christianity,2013,5
hindu,christianity,2013,5
islam,hindu,2013,5
hindu,christianity,2013,46
hindu,islam,2013,46
hindu,islam,2013,46
hindu,islam,2013,46
hindu,christianity,2013,46
hindu,islam,2013,46
hindu,islam,2013,28
hindu,christianity,2013,28
hindu,islam,2013,28
hindu,islam,2013,28
hindu,islam,2013,28
christian,hindu,2013,28
hindu,islam,2013,28
christian,hindu,2013,20
hindu,islam,2013,20
hindu,christianity,2013,20
hindu,islam,2013,20
islam,hindu,2013,20
hindu,christianity,2013,27
hindu,islam,2013,27
hindu,islam,2013,27
