bday,district,from,gender,to,year,week
7thnovembe--,tiruppur,hindu,M,islam,2012,16
9-march-1972,"ramanathapuram), residing at no. 2/415(48",hindu,M,islam,2012,16
18-june-1946,sivagangai,hindu,M,islam,2012,16
UNK,dindigul,hindu,F,islam,2012,16
UNK,pudukkottai,islam,F,christian,2012,16
9-january-1980,chennai,hindu,F,islam,2012,16
25-july-1977,thanjavur,islam,F,hindu,2012,16
24-june-1991,chennai,hindu,F,christian,2012,16
21-may-1972,kancheepuram,hindu,F,christian,2012,16
20-april-1988,virudhunagar,hindu,M,christian,2012,16
20-december-1969,erode,christian,F,islam,2012,16
29-october-1993,cuddalore,hindu,F,islam,2012,16
13-march-1981,virudhunagar,hindu,M,christian,2012,16
29-april-1973,erode,hindu,M,christian,2012,16
3-june-1992,chennai,hindu,F,islam,2012,16
18-may-1973,virudhunagar,christian,F,hindu,2012,16
7-may-1994,coimbatore,christian,F,hindu,2012,16
6-april-1978,coimbatore,hindu,M,islam,2012,16
26-april-1985,kancheepuram,hindu,F,christian,2012,16
UNK,thiruvannamalai,hindu,F,islam,2012,16
15-april-1984,thiruvallur,hindu,M,christian,2012,16
5-january-1983,thiruvallur,hindu,F,christian,2012,16
20-may-1945,perambalur,hindu,M,christian,2012,16
12-february-1988,chennai,hindu,M,islam,2012,16
15-february-1990,chennai,hindu,F,islam,2012,16
1-may-1970,tiruchirappalli,hindu,F,islam,2012,16
20-february-1988,ramanathapuram,hindu,M,islam,2012,16
11-october-1979,coimbatore,hindu,F,christian,2012,16
UNK,vellore,hindu,M,christian,2012,16
23-february-1978,vellore,islam,M,christian,2012,16
23-december-1979,tiruchirappalli,hindu,M,christian,2012,16
15-july-1972,kancheepuram,hindu,M,christian,2012,16
20-july-1960,kanyakumari,islam,F,hindu,2012,16
UNK,tirunelveli,christian,F,hindu,2012,16
20-april-1977,nammakkal,hindu,M,christian,2012,16
UNK,namakkal,hindu,M,christian,2012,16
19-may-1987,namakkal,hindu,M,islam,2012,16
4-february-1974,chennai,hindu,F,christian,2012,16
5-june-1987,madurai,hindu,M,islam,2012,16
21-april-1972,thoothukkudi,hindu,F,islam,2012,16
14-january-1991,madurai,hindu,M,islam,2012,16
14-may-1993,thiruvannamalai,hindu,F,islam,2012,16
