district,from,gender,to,year,week
theni,hindu,F,christian,2017,28
dindigul,christian,F,hindu,2017,28
madurai,islam,F,hindu,2017,28
madurai,hindu,M,islam,2017,28
madurai,hindu,F,islam,2017,28
ramanathapuram,hindu,F,islam,2017,28
thoothukkudi,hindu,M,christian,2017,28
tiruchirappalli,hindu,M,christian,2017,28
madurai,hindu,F,christian,2017,28
pudukkottai,hindu,F,islam,2017,28
villupuram,hindu,M,christian,2017,28
erode,hindu,M,islam,2017,28
erode,hindu,M,islam,2017,28
coimbatore,hindu,M,islam,2017,28
tiruchirappalli,islam,F,christian,2017,28
coimbatore,hindu,M,christian,2017,28
villupuram,hindu,F,christian,2017,28
villupuram,hindu,F,christian,2017,28
villupuram,hindu,M,christian,2017,28
villupuram,hindu,F,christian,2017,28
erode,hindu,F,christian,2017,28
karur,hindu,M,christian,2017,28
theni,hindu,M,christian,2017,28
cuddalore,hindu,F,islam,2017,28
coimbatore,hindu,M,christian,2017,28
krishnagiri,hindu,M,christian,2017,28
tiruchirappalli,hindu,M,islam,2017,28
thanjavur,hindu,F,islam,2017,28
nellore-andhra pradesh,hindu,F,christian,2017,28
tiruvallur,hindu,F,christian,2017,28
thoothukkudi,hindu,F,christian,2017,28
kancheepuram,hindu,M,christian,2017,28
chennai,hindu,M,christian,2017,28
chennai,hindu,F,islam,2017,28
chennai,hindu,M,islam,2017,28
thiruvannamalai,hindu,M,christian,2017,28
chennai,hindu,F,christian,2017,28
thiruvallur,hindu,M,christian,2017,28
kancheepuram,hindu,M,christian,2017,28
tiruvallur,hindu,F,islam,2017,28
ramanathapuram,hindu,M,islam,2017,28
pondicherry,hindu,M,islam,2017,28
dharmapuri,hindu,F,islam,2017,28
pondicherry,hindu,M,islam,2017,28
chennai,hindu,M,islam,2017,28
kanyakumari,christian,F,islam,2017,28
cuddalore,christian,M,hindu,2017,28
virudhunagar,hindu,F,islam,2017,28
tiruvarur,islam,F,hindu,2017,28
kancheepuram,hindu,M,islam,2017,28
cuddalore,hindu,F,christian,2017,28
virudhunagar,hindu,F,christian,2017,28
chennai,hindu,F,islam,2017,28
tirunelveli,christian,F,islam,2017,28
chennai,hindu,M,islam,2017,28
chennai,hindu,F,islam,2017,28
vellore,hindu,M,islam,2017,28
vellore,christian,F,hindu,2017,28
coimbatore,hindu,M,islam,2017,28
salem,hindu,F,islam,2017,28
coimbatore,hindu,F,islam,2017,28
chennai,islam,M,christian,2017,28
chennai,hindu,M,islam,2017,28
kancheepuram,hindu,F,christian,2017,28
madurai,hindu,F,islam,2017,28
kancheepuram,hindu,F,islam,2017,28
cuddalore,christian,F,islam,2017,28
kancheepuram,hindu,M,christian,2017,28
ramanathapuram,christian,M,hindu,2017,28
thoothukkudi,hindu,M,christian,2017,28
tirunelveli,hindu,M,islam,2017,28
dindigul,hindu,F,christian,2017,28
tirunelveli,hindu,F,islam,2017,28
chennai,hindu,F,islam,2017,28
chennai,hindu,F,christian,2017,28
chennai,christian,M,islam,2017,28
salem,hindu,M,christian,2017,28
pudukkottai,christian,M,islam,2017,28
thoothukkudi,christian,M,hindu,2017,28
karur,hindu,F,islam,2017,28
madurai,christian,M,hindu,2017,16
sivagangai,hindu,F,islam,2017,16
sivagangai,hindu,M,islam,2017,16
tiruchirappalli,hindu,F,christian,2017,16
tiruchirappalli,christian,F,islam,2017,16
theni,islam,M,hindu,2017,16
virudhunagar,hindu,M,islam,2017,16
dindigul,hindu,F,islam,2017,16
thanjavur,hindu,M,islam,2017,16
coimbatore,christian,M,hindu,2017,16
madurai,hindu,F,islam,2017,16
coimbatore,hindu,F,islam,2017,16
madurai,hindu,F,islam,2017,16
dharmapuri,hindu,M,islam,2017,16
madurai,UNK,M,UNK,2017,16
thoothukkudi,hindu,M,islam,2017,16
coimbatore,hindu,F,christian,2017,16
pondicherry,hindu,F,christian,2017,16
coimbatore,hindu,F,islam,2017,16
coimbatore,christian,M,hindu,2017,16
namakkal,hindu,F,islam,2017,16
chennai,christian,F,islam,2017,16
kancheepuram,hindu,F,islam,2017,16
vellore,hindu,F,islam,2017,16
thiruvannamalai,UNK,M,UNK,2017,16
thiruvannamalai,hindu,M,islam,2017,16
tirunelveli,hindu,F,christian,2017,16
kancheepuram,hindu,M,islam,2017,16
vellore,hindu,M,islam,2017,16
kancheepuram,hindu,M,islam,2017,16
chennai,hindu,M,islam,2017,16
kancheepuram,christian,F,hindu,2017,16
chennai,islam,M,hindu,2017,16
chennai,christian,M,hindu,2017,16
ariyalur,islam,M,hindu,2017,16
tirunelveli,christian,M,hindu,2017,16
chennai,hindu,M,islam,2017,16
chennai,christian,F,hindu,2017,16
cuddalore,hindu,M,islam,2017,16
tiruchirappalli,christian,M,hindu,2017,16
thiruvannamalai,hindu,M,christian,2017,16
kancheepuram,christian,F,hindu,2017,16
tirunelveli,hindu,M,christian,2017,16
tiruvallur,christian,F,hindu,2017,16
tirunelveli,hindu,M,islam,2017,16
chennai,hindu,M,christian,2017,16
tiruvallur,hindu,M,islam,2017,16
chennai,christian,M,islam,2017,16
chennai,hindu,M,christian,2017,16
chennai,hindu,M,christian,2017,16
chennai,islam,M,hindu,2017,16
cuddalore,islam,M,hindu,2017,16
tiruvallur,hindu,M,christian,2017,16
kancheepuram,hindu,M,islam,2017,16
tirunelveli,hindu,M,christian,2017,16
kancheepuram,hindu,F,islam,2017,16
chennai,hindu,F,christian,2017,16
thiruvannamalai,hindu,F,christian,2017,16
coimbatore,islam,M,hindu,2017,16
madurai,islam,F,hindu,2017,16
karur,hindu,M,islam,2017,16
tiruvallur,islam,F,hindu,2017,16
virudhunagar,hindu,F,islam,2017,16
salem,hindu,M,islam,2017,16
thanjavur,hindu,F,islam,2017,16
tiruvallur,hindu,M,christian,2017,16
chennai,hindu,F,christian,2017,16
salem,hindu,F,islam,2017,16
kanyakumari,hindu,M,christian,2017,16
chennai,islam,M,hindu,2017,16
chennai,islam,F,hindu,2017,16
chennai,hindu,F,islam,2017,16
thoothukkudi,christian,F,hindu,2017,16
virudhunagar,hindu,M,christian,2017,16
chennai,islam,F,hindu,2017,16
chennai,hindu,M,christian,2017,16
chennai,hindu,M,christian,2017,16
chennai,hindu,F,islam,2017,16
chennai,hindu,F,christian,2017,16
chennai,hindu,F,islam,2017,16
kancheepuram,hindu,F,christian,2017,16
dindigul,hindu,M,islam,2017,42
kanyakumari,hindu,F,islam,2017,42
virudhunagar,hindu,M,islam,2017,42
madurai,hindu,F,islam,2017,42
tiruvarur,hindu,M,islam,2017,42
tiruchirappalli,hindu,M,islam,2017,42
thoothukkudi,hindu,F,islam,2017,42
tiruchirappalli,hindu,M,islam,2017,42
tiruchirappalli,christian,F,islam,2017,42
dindigul,hindu,M,islam,2017,42
thanjavur,hindu,M,islam,2017,42
thoothukkudi,hindu,M,christian,2017,42
thoothukkudi,christian,F,hindu,2017,42
theni,hindu,F,christian,2017,42
tirunelveli,hindu,F,christian,2017,42
erode,hindu,M,christian,2017,42
tiruchirappalli,christian,M,islam,2017,42
coimbatore,hindu,M,christian,2017,42
chennai,hindu,M,christian,2017,42
chennai,hindu,F,islam,2017,42
chennai,hindu,F,islam,2017,42
vellore,hindu,M,christian,2017,42
idukkikerala,hindu,M,islam,2017,42
kancheepuram,hindu,F,islam,2017,42
thanjavur,hindu,F,islam,2017,42
chennai,hindu,F,christian,2017,42
chennai,hindu,M,islam,2017,42
chennai,hindu,M,islam,2017,42
tiruvallur,hindu,F,islam,2017,42
kanyakumari,hindu,F,islam,2017,42
tirunelveli,hindu,F,christian,2017,42
chennai,hindu,F,christian,2017,42
chennai,hindu,F,islam,2017,42
chennai,hindu,F,islam,2017,42
nagapattinam,hindu,M,christian,2017,42
villupuram,christian,F,islam,2017,42
chennai,hindu,F,christian,2017,42
chennai,christian,F,hindu,2017,42
sivagangai,hindu,M,christian,2017,42
chennai,hindu,F,christian,2017,42
chennai,islam,F,hindu,2017,42
villupuram,hindu,F,islam,2017,42
villupuram,christian,F,islam,2017,42
chennai,hindu,F,islam,2017,42
tiruchirappalli,christian,M,hindu,2017,42
karur,hindu,M,christian,2017,42
kancheepuram,hindu,M,islam,2017,42
kancheepuram,islam,F,hindu,2017,42
virudhunagar,hindu,M,christian,2017,42
the nilgiris,hindu,F,christian,2017,42
chennai,hindu,M,islam,2017,42
the nilgiris,hindu,F,christian,2017,42
vellore,christian,M,hindu,2017,42
salem,hindu,M,islam,2017,42
vellore,christian,F,hindu,2017,42
theni,hindu,M,islam,2017,42
sivagangai,christian,M,islam,2017,42
the nilgiris,hindu,F,christian,2017,42
thoothukkudi,christian,F,islam,2017,42
coimbatore,hindu,M,islam,2017,42
virudhunagar,hindu,F,islam,2017,42
tiruvarur,christian,M,islam,2017,42
ramanathapuram,hindu,F,christian,2017,22
virudhunagar,hindu,M,islam,2017,22
madurai,hindu,M,islam,2017,22
madurai,christian,M,hindu,2017,22
madurai,christian,M,hindu,2017,22
madurai,christian,M,hindu,2017,22
thoothukkudi,hindu,F,islam,2017,22
nagapattinam,hindu,F,islam,2017,22
cuddalore,hindu,F,christian,2017,22
kancheepuram,hindu,F,islam,2017,22
cuddalore,hindu,M,christian,2017,22
thiruvannamalai,hindu,F,islam,2017,22
cuddalore,hindu,F,christian,2017,22
chennai,hindu,F,christian,2017,22
chennai,hindu,M,christian,2017,22
vellore,hindu,M,islam,2017,22
villupuram,hindu,M,christian,2017,22
chennai,islam,M,hindu,2017,22
dindigul,hindu,M,christian,2017,22
